新領域創成科学研究科,専攻名,研究室名,教員名,説明,研究室HP,キーワード,引用元HP 
新領域創成科学研究科,海洋技術環境学専攻,海洋システム健全性形成学分野,教授 村山英晶,高効率・安全な海洋開発・探査の基盤となる構造物・輸送機・ロボットの新たな機能を追求していきます。安全・効率的な海洋開発・利用を実現する先進材料・構造システムの開発に取り組んでいます。外部と自身の状態把握から判断・行動する人間のように、構造物自身が内外の状態を監視・診断し適切な運用を促す、スマートストラクチャを研究しています。神経となるセンサネットワークの情報が脳として働くプロセッサによって処理され状況に適応する構造システム、それがスマートストラクチャの原型です。またスマートストラクチャに強く軽い骨格を与えれば、さらに優れた効果が発揮されます。光ファイバを用いた高精度・分解能のセンシング技術、逆解析・人工知能を用いた診断技術、炭素繊維を用いた軽量材料・構造の研究に取り組み、高い効率性と信頼性が求められる海洋機器・船舶のほか、航空機・宇宙輸送機への適用を目指しています。スマートストラクチャの導入による新たな海洋開発・利用技術の創出が目標です。,http://www.gisolab.t.u-tokyo.ac.jp/,,http://www.gisolab.t.u-tokyo.ac.jp/
新領域創成科学研究科,海洋技術環境学専攻,海洋資源エネルギー工学分野,准教授 平林紳一郎,資源エネルギー問題や地球環境問題の解決に向けた新しい海洋利用・海洋システムの構築を行っています。本研究室では環境負荷の小さな新しい資源・エネルギーの開発を目指し、洋上風力、海流・潮流、海洋温度差、波、太陽光といった海洋再生可能エネルギーの実用化に向けた研究を世界的な研究競争の中で行っています。また、深海底資源開発や海洋空間を利用した天然ガスの備蓄システムの開発についても研究を行っています。海洋再生可能エネルギーや資源開発の実用化に向けたプロジェクトを企画するとともに、その基盤となる先端要素技術開発を目標として、浮体構造物の波浪中応答や渦励起運動（VIM）、水中線状構造物の渦励振（VIV）、位置保持法、材料特性などプラットフォーム技術開発にも取り組んでいます。,http://www.orca.k.u-tokyo.ac.jp/SuzukiLab/Home.html,,http://www.orca.k.u-tokyo.ac.jp/SuzukiLab/Home.html
新領域創成科学研究科,海洋技術環境学専攻,海底資源開発工学分野,准教授 今野義浩,大水深海底資源の持続可能な開発を目指します。海底には多様なエネルギー・鉱物・生物資源が存在します。しかし、その多くは未だ利用されていません。環境に調和した経済的な海底資源の開発が可能になれば、人類の発展に大きく貢献することができるでしょう。　私たちの研究室では、大水深海底資源の持続可能な開発を実現するため、ラボ実験や数値解析を通じて、海底資源の成因と海底エコシステムの解明、海底資源回収技術の開発、海底資源開発に対する環境影響評価・経済性評価を行います。また、開発した技術の実用化を重視し、産官学連携を強力に推進します。　メタンハイドレート等の大水深海底資源の実用化を目指すとともに、海底下へのCO2隔離など、海底利用技術も含めた研究開発を進めていきます。,https://www.deepblue.edu.k.u-tokyo.ac.jp/,,https://www.deepblue.edu.k.u-tokyo.ac.jp/
新領域創成科学研究科,海洋技術環境学専攻,海洋リモートセンシング分野,"教授 林昌奎
准教授 横田裕輔",リモートセンシングによる海面・海底観測と海洋再生可能エネルギー利用に関する研究開発を行っています。海面は常に変動しています。変動の原因は海面に吹く風、海面気圧、海水密度、地形などさまざまですが、一般に、海面変動の様子は海面形状を表す波浪と海流・潮流などの流れに代表されます。また、海底は海面とは時間と空間のスケールが全く異なりますが、ゆっくり移動し、時々我々の生活に甚大な影響を及ぼします。本研究室では、リモートセンシングによる、波浪、海上風、海面水位、流氷などの海面の物理現象の観測、海底の精密測位及び微細地形の計測、並びにそれらの観測情報を活用するための研究、浮体構造物及び水中線状構造物などの海洋構造物における波浪と流れの影響評価、波力・潮流など海洋再生可能エネルギー利用システムの研究開発を行っています。相模湾平塚市、岩手県久慈市、北海道紋別市において、レーダによる海面観測システム及び海洋再生可能エネルギー利用システムの実証実験を行っています。,http://seasat.iis.u-tokyo.ac.jp/rheem/,,http://seasat.iis.u-tokyo.ac.jp/rheem/
新領域創成科学研究科,海洋技術環境学専攻,海中プラットフォームシステム学分野,准教授 巻俊宏,最先端のロボティクス、データサイエンスにより海中海底プラットフォームの可能性を追求します。広大な海中や海底のデータを得る手段として、無人・自律型のプラットフォームが注目されています。本研究室では自律型海中ロボット（AUV）を中心に、遠隔操縦ロボット（ROV）や自律ボート（ASV）、海底ステーションといったプラットフォームの連携により、新たな海中海底プラットフォームシステムを提案します。AUVの経路計画やセンサフュージョンによる確率的状態推定、機械学習といったアルゴリズムに加え、推進機構や音響通信・測位技術、非接触充電技術といったハードウェア技術、そして取得したデータの解析手法にいたるまで、総合的なアプローチを行います。現在進行中のプロジェクトには、複数AUVの同時運用手法、海底ステーションとの連携によるAUVの長期展開手法、低コストAUV（水中ドローン）による高効率な調査手法、海中生物の自動探知・追跡手法、AUVによる海氷・棚氷下の観測手法等があります。,http://makilab.iis.u-tokyo.ac.jp/index.html,,http://makilab.iis.u-tokyo.ac.jp/index.html
新領域創成科学研究科,海洋技術環境学専攻,海洋環境観測学分野,客員教授 菊地隆,温暖化によって急速に進行している北極海の海氷及び海洋物理学的な環境変化を明らかにする研究を行っています。北極海の海洋環境の変化、特に海氷の急速な減少は、地球温暖化の最も顕著な兆候の一つとして良く知られるようになってきた。本研究室では、北極海の海洋環境の変化の実態とその要因を、主に観測的手法から明らかにすることを目的としている。海洋地球研究船「みらい」や外国の砕氷船による現場観測は、北極海の物理・化学環境の変化を詳細にとらえる高精度・多項目観測を可能とする。また、現在進行している北極海の環境変化の鍵となる場所での係留系や漂流ブイを用いた観測を行うことで、通年の時系列観測データを得ることができる。これらの観測データを解析することで、海氷や海洋物理環境の現状と変化の速さを明らかにし、これらの変化を引き起こす海洋-海氷-大気間の重要なプロセスを解明する。また北極海の海氷域での観測を行うための技術開発も進めている。,http://www.jamstec.go.jp/iace/j/,,http://www.jamstec.go.jp/iace/j/
新領域創成科学研究科,海洋技術環境学専攻,気候予測利用研究分野,客員教授 Swadhin BEHERA,より良い気候情報を提供するため、気候予測とその応用研究を行っています。気候変動および気候変化は、社会に大きな影響を及ぼします。季節的なモンスーンの降雨の他にも、日本やアジアの大部分の地域は、経年変化するエルニーニョ、エルニーニョもどきやインド洋ダイポール現象といった気候モードの影響を受けます。この様な気候関連の環境問題への解答を見出す為に、私たちは、数か月から数十年にわたる気候変動を観測データや先端的大気海洋結合モデルを用いて研究しています。その様な結合モデルは、海洋や気候の諸物理過程を模擬的に再現するだけでなく、かなり先の気候変動を予測する事ができます。気候変動の社会的な影響を理解する事に加え、気候変動の特定海域への影響を調べる事も研究の目的です。気候と海洋における小規模過程の相互関係は、海洋と気候の予測においての重要な鍵であるばかりでなく、海洋資源管理においても重要となります。,http://www.jamstec.go.jp/res/ress/behera/,,http://www.jamstec.go.jp/res/ress/behera/
新領域創成科学研究科,海洋技術環境学専攻,unknown,unknown,unknown,,,unknown
新領域創成科学研究科,海洋技術環境学専攻,unknown,unknown,unknown,,,unknown
新領域創成科学研究科,環境システム学専攻,大気環境システム学分野,戸野倉 賢一  教授,"研究紹介大気環境動態･大気化学反応の解明大気環境の問題は，化学反応・気温・物質輸送が相互に関係したものです。環境負荷低減する方策を検討するために必要な環境動態の把握と大気化学反応の解明に取り組んでいます．これらの研究は、地球温暖化対策や成層圏・対流圏における均一反応の新しい解釈にとって重要になります．温室効果ガスである二酸化炭素中の安定炭素同位体計測による炭素循環の研究や窒素酸化物計測による都市大気環境の改善に関わる研究を行っています．大気微量計測手法の開発都市型環境汚染に関して汚染源からの拡散や都市汚染物質の組成の研究(とくに大気汚染防止法による規制物質), 酸性雨, 環境ホルモン, ダイオキシンなどの新しい汚染物質に関する研究が重要になっています．これらについては，フィールドで高感度に大気中の微量ガス成分を検出できる環境計測手法の開発を行っています．光化学スモッグ・エアロゾルの研究都市大気環境の重大課題としては，大気エアロゾルである光化学スモックの発生が挙げられます．本研究室では，その環境計測技術として超臨界流体の利用に注目しており，この技術利用したエアロゾル組成解析の新手法の開発研究を進めています．",http://www.tonokura-lab.k.u-tokyo.ac.jp/,,http://www.tonokura-lab.k.u-tokyo.ac.jp/
新領域創成科学研究科,環境システム学専攻,海洋環境システム学分野,多部田 茂  教授,"海洋環境問題の解決や海洋を利用した人類の持続的発展のための技術開発への貢献を目的として、人間活動による沿岸海洋環境への影響に関する研究や、海洋環境変動の把握や予測のための数値モデルに関する研究に取り組んでいる。人間活動や人工構造物による海洋環境への影響に関しては、現地における観測や実験、数値モデルによるシミュレーションの両方のアプローチから研究を行っている。具体的な対象としては、例えば新たな海洋空間利用方法として提唱されている超大型浮体式構造物の沿岸海洋環境への影響予測に関する研究などを手がけてきた。この研究では東京湾におけるメガフロート実海域実験などにおけるフィールド調査と、生態系モデルを用いた数値シミュレーションによって浮体構造物の環境影響を検討し、浮体表面に付着する生物の活動による水質への影響とそれらの落脱による底質への影響が非常に重要であることを明らかにするとともに、物質循環という観点から環境影響を評価した（文献１など）。また、海底構造物等によって人工的に湧昇流を引き起こし漁場の造成をねらう技術の評価なども手がけている（文献２など）。海洋環境変動のメカニズムを把握したり将来の環境変動を予測するためには、数値モデルによるアプローチが不可欠である。モデルを用いて環境変動を議論する際には現実の変動する外力を駆動力としたシミュレーションが重要であることを提唱し、特に沿岸域の現象に対するモデルの再現性の検討や高精度化を行ってきた（文献３など）。また、海洋における様々なスケールの現象を同時に解析するために、多段階の入れ子格子（Nested-grid）を用いて静水圧近似モデルと非静水圧モデルを結合したマルチスケール解析用の海洋モデルを開発した。このモデルでは、例えば湾全体などの広域の計算の負荷を比較的低く抑えながら、構造物周辺など静水圧近似が成立しない場所での局所的な流場を精度良く計算することができる。環境改善や制御のために人工的に鉛直混合を促進させる技術の評価や、複雑な地形や浮力効果によって強い対流を伴う自然現象の解析など、工学から理学まで広い分野への応用が期待できる（文献４など）。また、生物生産性が高く気候変動に敏感であるということなどから、地球環境にとって非常に重要な海域である氷海域の生態系モデルを開発し、氷海域生態系の特徴であるアイスアルジ（氷に付着した藻類）の役割や氷海域の物質循環について調べた（文献５など）。その他、ネスティングを用いた外洋・沿岸結合モデル、リモートセンシングの観測値を用いたデータ同化、沿岸と外洋の相互作用やイベント現象の物質循環への寄与、海底湧出地下水の沿岸海域環境への影響についての研究なども行っている。[文献]1) 北澤大輔, 藤野正隆, 多部田茂, 超大型浮体式構造物の海洋生態系への影響に関する研究, 日本造船学会論文集, Vol.192, pp.277-287, 2002.2) S. Tabeta, T. Kinoshita, Y. Shimizu, Numerical simulation of tidal current in the coastal region with an artificial seabed mound for upwelling, Proceedings of the 24th International Conference on Offshore Mechanics and Arctic Engineering, pp.419-423, 20053) S. Tabeta and M. Fujino, Comparison between simulation results and field data about currents and density in Tokyo Bay, Journal of Marine Science and Technology, Vol.1, pp.94-104, 1996.4) T. Kinoshita, S. Tabeta, M. Fujino, Numerical simulation of artificial purification system by using hydrostatic and FULL-3D combined model, Proceedings of the 22nd International Conference on Offshore Mechanics and Arctic Engineering, pp.743-748, 2003.5)Y. Nishi, S. Tabeta, Analysis of the contribution of ice algae to the ice-covered ecosystem in Lake Saroma by means of a coupled iceﾐocean ecosystem model, Journal of Marine Systems, 55, 249-270, 2005その他日本船舶海洋工学会、日本沿岸域学会、日本海洋学会、日本水産工学会、Marine Technology Society、各会員日本船舶海洋工学会・東アジア海洋環境モデル研究委員会委員長（2006～）、同・海洋工学・海洋環境分野研究企画部会委員（2005～）、同・東部支部会務委員（2006～）、日本沿岸域学会・企画運営委員会委員長（2006～）、国土交通省・タンカーのダブルハル化推進に関する検討会委員（2004）、日本造船技術センター・超大型浮体式海洋構造物安全性評価検討委員会委員（1996）、日本海洋工学会・理事／運営委員（2005～）、海洋工学懇談会・庶務幹事（2002～）、生態系工学研究会研究員（1998～）、等。将来設計今後も海洋環境問題の解決や海洋を利用した人類の持続的発展のための技術開発への貢献を目的とした研究を行っていきます。人間活動が多大な影響を及ぼしてきた沿岸海域に関しては、環境の保全・修復・創造に資するため、陸域・沿岸域・外洋域の相互影響を考慮して物理・生態系・社会経済の多角的な視点から海洋環境システムを分析評価します。また、漁場造成と二酸化炭素隔離効果が期待される海洋滋養技術など、地球温暖化や食糧問題解決のための海洋利用に関する研究も進めていきます。教員からのメッセージ新しい専攻、新しいキャンパスから人類の幸福に貢献する新しい研究が生まれることを期待しています。私自身も広い視野を持って新たな分野に挑戦していきたいと思います。",http://mee.k.u-tokyo.ac.jp/wp/,,http://mee.k.u-tokyo.ac.jp/wp/
新領域創成科学研究科,環境システム学専攻,エネルギー環境学分野,愛知 正温  講師,"地圏の特性を活用して、できるだけ環境負荷が少なく持続可能なエネルギーシステムの構築に貢献するための研究を行っている。地熱や地中熱利用、二酸化炭素地中貯留などの人間活動と自然環境の相互作用のモデル化や、適切な監視・管理手法の確立を目指した研究をしている。具体的なテーマは以下のようである。1)  広域地下水流動システム中における詳細モデリング技術自然環境と人間活動の相互作用をモデル化するためには、広域的な環境スケールでの現象と、局所的な人工物の施工スケールで発生する現象の両方を扱う必要があることが多い。注目すべき物理プロセスや要求される解像度・精度などが大きく異なるモデルを適切に連結し、効率的にモデル化する手法の開発を行っている（文献１）。2)  自然に近い条件における原位置地層物性の評価技術地下を適切に活用するためには、まずその性質を定量的に評価することが必要である。大気圧変動や潮位変動など、自然に発生している信号を受動的に観測して解析することで、自然に近い状態における地下の物理的性質を推定する技術の研究を行っている（文献２）。3)  多相の間隙流体を含む多孔質体の力学地中の熱や間隙流体圧が変化すると、それに伴って地層も変形する。地熱発電における水－水蒸気系や、二酸化炭素地中貯留における水－二酸化炭素系など、多相の流体が存在する場合にも地層の変形が評価可能となるように、変形理論の構築を行っている（文献３）。また、その理論に基づいた数値シミュレーションと地表面変動モニタリングを組み合わせ、地下の状態を地表の情報からも推定可能とし、より効果的な監視・管理手法の確立へとつなげるべく研究を行っている。[文献]1） Aichi M.  Coupled Groundwater Flow/ Deformation Modelling for Predicting Land Subsidence. In Groundwater Management in Asian Cities: Technology and Policy for Sustainability, Takizawa S (eds.), Springer-Verlag: Tokyo, pp105-124 (Chap.5), 2008.2） 愛知正温, 塩苅恵, 徳永朋祥, 2011, 地下水面の潮汐応答に関する解析解の導出と伊豆諸島新島における原位置水理特性評価, 地下水学会誌, 53(3), 249-265.3)  Aichi M, Tokunaga T, 2012, Material coefficients of multiphase thermoporoelasticity for anisotropic micro-heterogeneous porous media. Int. J. Solid. Struct., 49, 3388-3396.その他日本地下水学会、日本応用地質学会、地盤工学会、日本地理学会、AGU、EGU等学会会員。将来設計私たちの社会を持続させていくためには、低環境負荷で、枯渇生資源に依存しないエネルギー供給・消費のシステムを構築することが、必要不可欠である。そのためには、少ないエネルギーで従来以上の価値・サービスを得るための省エネ技術、再生可能で環境負荷の少ないエネルギー資源への転換、エネルギー使用によって発生した物質を適切に処分し環境影響を抑制する技術、の三本柱が重要である。特に地質材料の特性をうまく活用することで、それらの実現に貢献できるような技術開発を行っていきたい。教員からのメッセージ科学技術が発達して多くのことが分かっているようでも、実際には一寸先は闇で、世の中にはよく分かっていないことが沢山あります。分かっていない部分を明らかにしていく努力とともに、人知の限界を謙虚に認めた上で、いかに不確実な部分と折り合いを付けながら物事を実現していくか、想定外の事態に陥った場合にいかにリカバーするかということを考えていくことが、これからますます大切になってくると思います。このような視点を踏まえつつ、若い学生の方々とともに、これからの環境学を展開していけたらと思っています。",https://webpark1783.sakura.ne.jp/#/,,https://webpark1783.sakura.ne.jp/#/
新領域創成科学研究科,環境システム学専攻,環境化学エネルギー工学分野,大友 順一郎  准教授,"新しい化学現象や材料開発の統合化とそれに基づく有意なエネルギーシステムの構築を目標として、固体電気伝導(イオン・電子)に関わる材料開発や界面・表面反応の観察を通じた新しいエネルギーシステムの提案を目指している。具体的には、化学エネルギーから電気エネルギーへの高効率変換が可能な燃料電池を中心に研究を進めている。高効率変換が可能な燃料電池の実現のためには、イオン伝導や界面反応など分子レベルにおいての理解が不可欠であり、電極構造の制御等のメゾスコピックなスケールでの制御も重要である。さらに、それらを組み合わせたマクロレベルのシステムとしての評価が必要となる。このように各スケールにまたがる要素を統合化しつつ、多様なエネルギー形態への対応を考えている。（１）新規イオン伝導体の開発・伝導機構の解明　（２）炭化水素・アルコール類の電極酸化反応の追跡　（３）機能性薄膜合成のプロセス開発　　　　　　　　　（４）多様な燃料に対応した燃料電池の開発と新しいエネルギーシステムの提案[文献]1）Junichiro Otomo, Shuqiang Wang, Hiroshi Takahashi and Hidetoshi Nagamoto, ""Microstructure Development of Mesoporous Silica Thin Films with Pore Channels Aligned Perpendicularly to Electrode Surfaces and Application to Proton Conducting Composite Electrolyte Membranes"", Journal of Membrane Science, 279(1-2), 256-265 (2006).2）Junichiro Otomo, Takanori Tamaki, Satoru Nishida, Shuqiang Wang, Masaru Ogura, Takeshi Kobayashi, Ching-ju Wen, Hidetoshi Nagamoto, and Hiroshi Takahashi, ""Effect of Water Vapor on Proton Conduction of Cesium Dihydrogen Phosphate and Application to Intermediate Temperature Fuel Cell"", Journal of Applied Electrochemistry, 35(9), 865-870 (2005).3) Junichiro Otomo, Hitoshi Shigeoka , Hidetoshi Nagamoto, and Hiroshi Takahashi, ""Phase Transition Behavior and Protonic Conduction Mechanism in Cesium Hydrogen Sulfate/Silica Composite"" Journal of Physics and Chemistry of Solids, 66(1), 21-30 (2005).4) Junichiro Otomo, Xiaoen Li, Takeshi Kobayashi, Ching-ju Wen, Hidetoshi Nagamoto, Hiroshi Takahashi, "" AC Impedance Spectroscopy of Anodic Reactions with Adsorbed Intermediates: Electro-oxidations of 2-Propanol and Methanol on Carbon-supported Pt Catalyst"" Journal of Electroanalytical Chemistry, 573(1), 99-109 (2004).その他所属学会：化学工学会、電気化学会、日本化学会、SOFC研究会将来設計エネルギーシステムの提案において新たなデバイスの開発は重要であるが、一方でシステム全体の分析と評価の重要性に常々痛感する。環境システム学専攻で研究教育に携わるにあたり、学内外の研究者や企業との連携を通じて、全体的なシナリオ構築の方法論について考えていきたい。多様な燃料に対応した新しいエネルギーシステムの提案と構築が当面の目標であるが、新規デバイスの開発と平行して、まずは熱力学的視点からのシステム評価を足がかりとしたい。教員からのメッセージ新しいモノやコトを創出するには、知識の集積化のみならず、主観的で経験的な要素も多分にあると思います。強い意志を持ち、自分の全人格を投入することが時には必要です。研究生活を通じて、学生の皆さんに新しいことを成し遂げる過程について是非実感してもらいたいと考えています。",http://www.otomolab.k.u-tokyo.ac.jp/,,http://www.otomolab.k.u-tokyo.ac.jp/
新領域創成科学研究科,環境システム学専攻,環境安全システム学分野,澤井 理  助教,"循環型社会の形成を推進する上で根幹をなす廃棄物資源の循環再利用における低環境負荷型技術やシステムの強化を図る目的で、以下の研究を進めている。（１） 下水汚泥をはじめとしたバイオマスの水熱ガス化の実験および実証検討（文献１）（２） 高温高圧水を用いたソルベントフリーな触媒調製法（文献２）や環境ナノ材料の合成法（文献３）の開発（３） 開発途上国における難分解性排水処理の実験および実証検討（文献４）や難再生PET材の機能性炭素材料への変換（文献５）[文献](1) O. Sawai, T. Nunoura, K. Yamamoto, Supercritical water gasification of sewage sludge using bench-scale reactor: Advantages and drawbacks, J. Mater. Cycles Waste Manag., 16, 82-92, 2014.(2) O. Sawai and Y. Oshima, Deposition of silver nano-particles on activated carbon using supercritical water, J. Supercrit Fluids, 47, 240–246, 2008.(3) O. Sawai, X. Zhou, D. Hirai, T. Nunoura, A green process for facile one-pot synthesis of nickel ferrite anchored on reduced graphene oxide for water treatment, 2020 Virtual AIChE Annual Meeting, November 16-20, 2020.(4) D. Gamaralalage, O. Sawai, T. Nunoura, Degradation behaviour of palm oil mill effluent on Fenton oxidation. J. Hazard. Mater., 364, 791-799, 2019.(5) J. W. F. Chia, O. Sawai, T. Nunoura, Reaction pathway of poly(ethylene) terephthalate carbonization: Decomposition behavior based on carbonized product, Waste Management, 108, 62-69, 2020.その他所属学会：化学工学会、廃棄物資源循環学会、日本水環境学会、日本セラミックス協会将来設計環境学やナノ材料工学分野への学術的貢献と、協働する学生には苦難を乗り越えてやりぬくことの大切さや面白さを伝えたい。教員からのメッセージ大学院での２年間（もしくは５年間）は、多くの人にとって何かにとことん熱中できる自由時間としては最後のチャンスです。とてもタフな日々となるかもしれませんが、自分自身に限界を設定せず、エネルギッシュに過ごしてほしいと思います。何事にも果敢に取り組む姿勢や習慣は、その後の人生ににおいて間違いなく財産になると信じています。",http://www.nunolab.k.u-tokyo.ac.jp/wp/,,http://www.nunolab.k.u-tokyo.ac.jp/wp/
新領域創成科学研究科,環境システム学専攻,環境リスク評価学分野,大島 義人  教授,"環境調和型溶媒として注目されている超臨界流体の工学的利用について研究を行っている。超臨界流体とは、物質固有の臨界点を超える温度圧力条件の流体であり、単一の物質でも操作条件によって物性を大きく変化させることができる。特に超臨界水は、温度や圧力の操作によってイオン積や誘電率が幅広く変化するため、無機反応に適したイオン性の雰囲気から、無極性溶媒に匹敵する高い有機物溶解性を実現する雰囲気まで、目的に応じて反応場を選択することが可能となる。このような特徴を活かし、安価で無毒である水を従来の有機溶媒に替わる反応場として利用することによって、新しい環境負荷低減技術の開発を目指している。研究対象は、超臨界水酸化反応と呼ばれる有害廃棄物の分解（文献1）や、固体触媒を用いた有機合成（文献2）、ナノ粒子やポリマーなどの無機材料合成（文献3）など、多岐にわたる。これらの各分野において、化学反応速度論や反応工学をベースとした反応の設計、解析、制御を行うことによって、超臨界流体中の化学反応に関する基礎的研究から、新しい工学技術の開拓まで、幅広く研究を進めている。[文献]1）Li Hong and Yoshito Oshima, “Elementary Reaction Mechanism of Methylamine Oxidation in Supercritical Water”, Industrial & Engineering Chemistry Research, 44, 8756-8764 (2005).2）Kengo Tomita and Yoshito Oshima, ""Stability of Manganese Oxide in Catalytic Supercritical Water Oxidation of Phenol"", Industrial & Engineering Chemistry Research, 43, 7740-7743 (2004).3） Junichi Otsu and Yoshito Oshima, ""New Approaches to the Preparation of Metal or Metal Oxide Particles on the Surface of Porous Materials Using Supercritical Water: Development of Supercritical Water Impregnation Method"", Journal of Supercritical Fluids, 33(1), 61-67 (2005).その他所属学会：化学工学会、日本化学会、石油学会。安全工学会。化学工学会では超臨界流体部会に所属し、現在部会幹事を務めている。各種委員会等（2002年度以降）：文部科学省科学技術・学術審議会資源調査分科会水資源委員会委員（2002）、日本学術会議社会環境工学研究連絡委員会委員（2003～2004）、日本学術振興会特別研究員等審査会専門委員（2003～2004）、化学工学会継続教育委員会委員（2003～）、日本化学会環境・安全推進委員会事業小委員会委員（2003～）、同委員長（2007～）、日本化学会速報誌編集委員（2004～2007）、大学等環境安全協議会理事（2005～2007）、同評議員（2007～）など。将来設計本学環境安全研究センターに在職した5年余りの経験を通じて、大学における環境安全の現状と課題、環境安全教育の重要性などを痛感してきた。日本が科学技術立国として発展するためには、それを支援する基盤として、環境安全に十分な配慮がなされた研究教育環境の整備が不可欠である。大学における研究の多様化や複雑化が今後も進むことが予想される中で、化学物質の環境リスクを正確に評価し削減するための環境技術の開発を進めるとともに、「環境安全学」に立脚した具体的な環境安全教育プログラムを整備し、環境安全配慮を身に着けた人材を排出することで社会的貢献を果たしていきたいと考えている。教員からのメッセージその昔、研究は金持ちの道楽だったと言われています。自分の可能性を信じ、愚直に楽しみながら知的好奇心を満たしていくことは、最高の道楽だと思います。自分のために時間を使い、自分のために研究ができることの贅沢を謳歌し、充実した学生生活を送ってください。",http://www.oshimalab.k.u-tokyo.ac.jp/top.html,,http://www.oshimalab.k.u-tokyo.ac.jp/top.html
新領域創成科学研究科,環境システム学専攻,環境社会システム学分野,井原 智彦  准教授,ライフサイクル的思考に基づいて社会の環境問題を分析するとともに、地域・個人レベルでの具体的な対策を立案し、社会全体への有用性を評価する研究を実施しています。これまで実施してきた研究テーマの例を以下に示します。1) 都市気候とエネルギー需要の関係を統計的に解析するとともに、建築エネルギーモデルを用いて、各種の省エネルギー技術が社会全体にもたらす節電量・CO2排出削減量を評価する研究。2) 都市気候と人間健康との関係を、疫学調査や公的健康統計を用いて広く解析する（疫学的アプローチ）とともに、センサーを用いた人体計測を通じて具体的な物理生理過程を解明する（生気象学的アプローチ）研究。3) 消費者の日常生活に伴う環境負荷が社会全体に占める影響を評価するとともに、具体的な環境調和型行動の社会全体への環境改善量を見積もる研究。その他所属学会: 日本LCA学会（2008-2010 研究発表会実行委員会委員、2011- 同副委員長）、日本ヒートアイランド学会（2011- 運営委員会委員）、日本建築学会、エネルギー・資源学会、空気調和・衛生工学会、環境情報科学センター、日本生気象学会、日本睡眠学会、日本疲労学会、International Association for Urban Climate将来設計社会における環境問題が現実に解決されるように、社会において何が問題となっているかを見きわめた上で、その問題に対して有効となる、地域・個人レベルでの具体的な方策を、研究を通じて立案していきたいと考えています。教員からのメッセージ学生時代は長いようで短いです。高校までの期間あるいは社会人からの期間と異なって誰にも管理されない貴重な時間を有意義に過ごして下さい。ライフサイクル的思考に興味を持ち、かつ意欲的に自ら目標を立てて研究を進めていける若い諸君をお待ちしております。,http://www.lct.k.u-tokyo.ac.jp/,,http://www.lct.k.u-tokyo.ac.jp/
新領域創成科学研究科,環境システム学専攻,循環型社会創成学分野,藤井 実  客員教授,unknown,http://envsys.k.u-tokyo.ac.jp/tcos/,,http://envsys.k.u-tokyo.ac.jp/tcos/
